SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,2700117,79005021,Minnesota Transitions Charter Schools,Public,Minneapolis,MN,993,09/08/2020,Online Only,No,No,Pending,No,Required for all staff,Unknown,Yes,Unknown,Closed indefinitely,Unknown,10/13/2020
2020-2021,,96941421,New City Charter School District,Public,Minneapolis,MN,277,09/08/2020,Online Only,No,No,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/28/2020
2020-2021,2700295,108558153,Noble Academy,Public,Minneapolis,MN,650,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,,103697171,Pillsbury United Communities,Public,Minneapolis,MN,410,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700159,96932329,Sojourner Truth Academy Charter Office,Public,Minneapolis,MN,400,08/31/2020,Hybrid,Unknown,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/30/2020
2020-2021,2700278,96932305,Southside Family Charter School District,Public,Minneapolis,MN,117,09/08/2020,Online Only,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Never closed,Unknown,12/11/2020
2020-2021,2700352,108558388,Spero Academy,Public,Minneapolis,MN,160,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700289,108558055,Stonebridge World School,Public,Minneapolis,MN,300,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700373,108558500,The Mastery School,Public,Minneapolis,MN,350,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700189,108557567,Twin Cities International Schools,Private,Minneapolis,MN,600,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700281,96931961,Yinghua Academy Charter Office,Public,Minneapolis,MN,667,09/09/2020,Hybrid,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,Pending,Pending,11/04/2020
2020-2021,2721270,896534,Minneota Independent School District 414,Public,Minneota,MN,546,08/24/2020,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,10/28/2020
2020-2021,,96943460,Eagle Ridge Academy Charter Office,Public,Minnetonka,MN,826,08/31/2020,Online Only,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,12/22/2020
2020-2021,,96941580,Lionsgate Academy Charter Office,Public,Minnetonka,MN,265,08/31/2020,Online Only,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12/23/2020
2020-2021,2711670,896753,Minnetonka Independent School Dist 276,Public,Minnetonka,MN,21524,09/10/2020,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/12/2021
2020-2021,2722920,896734,Westonka Independent School District 277,Public,Minnetrista,MN,2687,09/08/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/13/2021
2020-2021,2721320,896535,Montevideo Independent School Dist 129,Public,Montevideo,MN,1386,09/01/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,2700379,896618,Tri-City United Schools 2905,Public,Montgomery,MN,1903,09/08/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,2721390,896733,Monticello Independent School Dist 882,Public,Monticello,MN,4142,09/08/2020,Hybrid,Yes,Unknown,Unknown,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/23/2020
2020-2021,2700249,96932130,Swan River Montessori Charter Schl Dist,Public,Monticello,MN,175,09/14/2020,Hybrid,Unknown,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/18/2020
2020-2021,2721420,896439,ISD 152 Moorhead Area Public Schools,Public,Moorhead,MN,7627,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,2721450,896712,Moose Lake Independent School Dist 97,Public,Moose Lake,MN,694,09/08/2020,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/30/2020
2020-2021,2721480,896807,Mora Independent School District 332,Public,Mora,MN,1804,09/08/2020,On Premises,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/27/2020
2020-2021,2700110,896537,Cedar Mountain School District 2754,Public,Morgan,MN,490,09/08/2020,Hybrid,Unknown,Yes,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/08/2020
2020-2021,2700383,896539,Morris Area Independent School Dist 2769,Public,Morris,MN,1011,09/08/2020,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,10/02/2020
2020-2021,2700001,896713,Mountain Iron-Buhl Indpndnt Sch Dist 712,Public,Mountain Iron,MN,515,09/08/2020,On Premises,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/11/2020
2020-2021,2723010,896589,Mountain Lake Independent Schl Dist 173,Public,Mountain Lake,MN,530,09/15/2020,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,01/04/2021
2020-2021,2723310,896681,Nashwauk-Keewatin Indpndt Schl Dist 319,Public,Nashwauk,MN,630,09/08/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,11/02/2020
2020-2021,2700275,108557903,Naytahwaush Community Charter School,Public,Naytahwaush,MN,143,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700179,95355715,Nerstrand Charter District,Public,Nerstrand,MN,150,09/10/2020,On Premises,No,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/03/2020
2020-2021,2723370,896496,Nevis Public School District 308,Public,Nevis,MN,580,09/08/2020,Hybrid,Unknown,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,No,Never closed,Yes,10/29/2020
2020-2021,2700313,108558210,Global Academy,Public,New Brighton,MN,430,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2731780,896724,Robbinsdale Area Schools 281,Public,New Hope,MN,13926,09/08/2020,Online Only,Unknown,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,12/28/2020
2020-2021,2723400,896540,New London-Spicer Indpndnt Schl Dist 345,Public,New London,MN,1423,08/31/2020,Online Only,No,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/08/2021
2020-2021,2723430,896619,New Prague Area School District 721,Public,New Prague,MN,4301,09/03/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/28/2020
2020-2021,2700089,896620,Nrheg School District 2168,Public,New Richland,MN,887,09/08/2020,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,10/08/2020
2020-2021,2723490,896622,New Ulm Independent School District 88,Public,New Ulm,MN,2449,08/31/2020,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,01/21/2021
2020-2021,2723520,896440,New York Mills Independent Schl Dist 553,Public,New York Mills,MN,832,09/10/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/18/2020
2020-2021,2723550,896412,Marshall County Central School District,Public,Newfolden,MN,434,09/08/2020,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,No,Yes,Never closed,Yes,10/08/2020
2020-2021,2723580,896623,Nicollet Independent School District 507,Public,Nicollet,MN,335,09/08/2020,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/09/2020
2020-2021,2723820,896808,North Branch Area Public Schools 138,Public,North Branch,MN,3522,09/08/2020,Hybrid,No,Unknown,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/13/2020
2020-2021,2723850,896789,North St Paul-Maplewood-Oakdale SD 622,Public,North Saint Paul,MN,11020,09/14/2020,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,No,12/28/2020
2020-2021,2700355,108558408,Arcadia Charter School,Public,Northfield,MN,126,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2723880,896809,Northfield Independent School Dist 659,Public,Northfield,MN,3999,09/14/2020,Other,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,01/21/2021
2020-2021,2700212,96941151,Prairie Creek Community School District,Public,Northfield,MN,180,09/10/2020,Hybrid,Unknown,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/18/2020
2020-2021,2732700,896427,South Koochiching Rainy River SD 363,Public,Northome,MN,383,09/08/2020,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/30/2020
2020-2021,2723910,896735,Central School District 108,Public,Norwood Young America,MN,1060,09/08/2020,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,10/26/2020
2020-2021,2723970,896507,Ogilvie Independent School District 333,Public,Ogilvie,MN,630,09/08/2020,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Unknown,Yes,Unknown,Never closed,Yes,10/14/2020
2020-2021,2713930,896613,Heron Lake-Okabena Independent SD 330,Public,Okabena,MN,334,09/08/2020,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,12/30/2020
2020-2021,2705660,896769,Bold School District,Public,Olivia,MN,636,09/08/2020,On Premises,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,12/15/2020
2020-2021,2725050,896508,Onamia Independent School District 480,Public,Onamia,MN,648,09/08/2020,On Premises,No,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed indefinitely,Yes,12/15/2020
2020-2021,2733720,896682,Nett Lake Independent School District,Public,Orr,MN,53,09/08/2020,Online Only,No,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/03/2020
2020-2021,2700328,896541,Ortonville Independent School Dist 2903,Public,Ortonville,MN,459,08/31/2020,Online Only,Yes,No,Pending,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/28/2020
2020-2021,2725140,896509,Osakis Independent School District 213,Public,Osakis,MN,822,09/08/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/11/2020
2020-2021,2700360,96942936,Kaleidoscope Charter School District,Public,Otsego,MN,500,09/08/2020,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/30/2020
2020-2021,2728050,896810,Owatonna Independent School District 761,Public,Owatonna,MN,5093,09/03/2020,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/02/2020
2020-2021,2728080,896497,Park Rapids Independent School Dist 309,Public,Park Rapids,MN,1655,09/08/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/08/2021
2020-2021,2728110,896510,Parkers Prairie Independent Sch Dist 547,Public,Parkers Prairie,MN,513,09/08/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/05/2020
2020-2021,2728140,896511,Paynesville Independent School Dist 741,Public,Paynesville,MN,949,09/09/2020,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,01/13/2021
2020-2021,2728170,896441,Pelican Rapids Independent Schl Dist 548,Public,Pelican Rapids,MN,970,09/08/2020,Hybrid,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,12/22/2020
2020-2021,2728200,896498,Pequot Lakes Independent School Dist 186,Public,Pequot Lakes,MN,1858,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/15/2020
2020-2021,2728230,896442,Perham Dent School District 549,Public,Perham,MN,1657,08/31/2020,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/16/2020
2020-2021,2728320,896512,Pierz School District 484,Public,Pierz,MN,1258,09/08/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/07/2021
2020-2021,2700191,108557583,Pillager Area Charter School,Public,Pillager,MN,36,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2728350,896499,Pillager Independent School District 116,Public,Pillager,MN,886,09/08/2020,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/28/2020
2020-2021,2728380,896811,Pine City School District 578,Public,Pine City,MN,1659,09/08/2020,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/05/2020
2020-2021,2728950,896655,Pine Island School District 255,Public,Pine Island,MN,1327,08/31/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/07/2021
2020-2021,2728970,896500,Pine River-Backus Independent SD 2174,Public,Pine River,MN,935,09/08/2020,Other,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/09/2020
2020-2021,2700108,896590,Pipestone Area Independent Sch Dist 2689,Public,Pipestone,MN,1125,08/26/2020,Hybrid,Yes,Unknown,Yes,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/06/2020
2020-2021,2700287,896656,Plainview-Elgin-Mellville Cmnty SD 2899,Public,Plainview,MN,1505,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/08/2021
2020-2021,2700385,896414,Red Lake County Central ISD 2906,Public,Plummer,MN,410,09/08/2020,On Premises,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/08/2020
2020-2021,2742160,896714,Wayzata School District 284,Public,Plymouth,MN,11415,09/14/2020,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,12/28/2020
2020-2021,2728960,896443,Pine Point School District 25,Public,Ponsford,MN,65,08/03/2020,Hybrid,No,No,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,10/13/2020
2020-2021,2700100,896676,Fillmore Central School District 2198,Public,Preston,MN,669,09/08/2020,Hybrid,Unknown,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,10/15/2020
2020-2021,2730030,896737,Princeton School District 477,Public,Princeton,MN,3539,09/08/2020,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,10/16/2020
2020-2021,2730060,896738,Prior Lake-Savage Area School Dist 719,Public,Prior Lake,MN,8971,09/15/2020,Online Only,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,12/22/2020
2020-2021,2730090,896691,Proctor Independent School District 704,Public,Proctor,MN,1851,09/08/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,2700093,44859180,Pact Charter School District,Public,Ramsey,MN,650,08/31/2020,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/30/2020
2020-2021,2730150,896778,Randolph School District 195,Public,Randolph,MN,644,09/08/2020,Hybrid,No,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/15/2020
2020-2021,2730450,896415,Red Lake Falls School District 630,Public,Red Lake Falls,MN,366,09/08/2020,On Premises,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/09/2020
2020-2021,2730480,896779,Red Wing School District 256,Public,Red Wing,MN,3020,09/08/2020,Hybrid,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Never closed,Yes,10/13/2020
2020-2021,2730510,896428,Red Lake Independent School District 38,Public,Redlake,MN,1415,09/08/2020,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Pending,Pending,Pending,10/16/2020
2020-2021,2700182,896542,Redwood Area School District 2897,Public,Redwood Falls,MN,1260,09/08/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/15/2020
2020-2021,2730870,896429,Northland Community School District 118,Public,Remer,MN,351,09/08/2020,Hybrid,Unknown,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/29/2020
2020-2021,2700163,6932275,Renville County West Public Schools 2890,Public,Renville,MN,500,08/24/2020,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/30/2020
2020-2021,2700237,96941186,Partnership Academy Charter Office,Public,Richfield,MN,200,09/02/2020,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,11/04/2020
2020-2021,2731750,896721,Richfield Public Schools 280,Public,Richfield,MN,4328,09/14/2020,Hybrid,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,01/08/2021
2020-2021,2700213,96932013,Watershed High School District,Public,Richfield,MN,65,08/31/2020,Online Only,No,No,No,Yes,Required for all staff,Required for high school students only,Unknown,Unknown,Never closed,No,12/01/2020
2020-2021,,105401635,Rochester Beacon Academy Charter Dist,Public,Rochester,MN,110,08/31/2020,Hybrid,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,11/20/2020
2020-2021,2700247,96940968,Rochester Math and SCI Acdmy Charter Ofc,Public,Rochester,MN,322,08/31/2020,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,12/30/2020
2020-2021,2731800,896693,Rochester Public Schools,Public,Rochester,MN,19849,09/02/2020,Online Only,No,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/22/2020
2020-2021,2700370,96940934,Rochester Stem Academy Charter Office,Public,Rochester,MN,104,09/02/2020,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Closed indefinitely,Unknown,12/09/2020
2020-2021,2700180,108557543,Rosa Parks Charter High School,Public,Rochester,MN,90,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2732070,896739,Rockford Area School District 883,Public,Rockford,MN,1707,09/08/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/01/2020
2020-2021,2732250,896417,Roseau School District 682,Public,Roseau,MN,1415,09/08/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/16/2020
2020-2021,2700026,5185156,Intermediate School District 917,Public,Rosemount,MN,410,09/14/2020,Hybrid,Unknown,Pending,Pending,,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,11/02/2020
2020-2021,2732390,896780,Rosemount-Apple Valley-Eagan ISD 196,Public,Rosemount,MN,28646,09/14/2020,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,01/15/2021
2020-2021,,2449699,Minnesota Department of Education,Public,Roseville,MN,,09/08/2020,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,11/11/2020
2020-2021,2732430,896793,Roseville Area Schools 623,Public,Roseville,MN,7977,09/08/2020,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed indefinitely,Yes,12/30/2020
2020-2021,2732460,896444,Rothsay School District 850,Public,Rothsay,MN,301,09/08/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,12/29/2020
2020-2021,2732520,896513,Royalton Public School District 485,Public,Royalton,MN,1001,09/08/2020,On Premises,Yes,Unknown,Pending,Pending,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,09/25/2020
2020-2021,2732550,896781,Rush City Independent School Dist 139,Public,Rush City,MN,912,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,10/08/2020
2020-2021,2728290,896657,Rushford Peterson ISD 239,Public,Rushford,MN,720,09/08/2020,Online Only,No,No,No,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,11/06/2020
2020-2021,2733450,896658,St Charles School District 858,Public,Saint Charles,MN,1074,08/24/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/29/2020
2020-2021,2733480,896624,St Clair School District 75,Public,Saint Clair,MN,695,09/14/2020,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/19/2020
2020-2021,,101961918,St Cloud Math and SCI Acdmy Charter Ofc,Public,Saint Cloud,MN,180,09/08/2020,Hybrid,No,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/22/2021
2020-2021,2700252,108557826,Stride Academy Charter School,Public,Saint Cloud,MN,455,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2733540,896783,Saint Francis School District 15,Public,Saint Francis,MN,5285,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2733600,896625,St James Public School District 840,Public,Saint James,MN,1165,09/08/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/06/2021
2020-2021,2700185,96941608,Academia Cesar Chavez School District,Public,Saint Paul,MN,500,09/03/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,10/23/2020
2020-2021,2700118,96941625,Achieve Language Academy District,Public,Saint Paul,MN,450,09/08/2020,Online Only,No,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Closed 6-14 days,Yes,12/17/2020
2020-2021,,2444789,Archdiocese-St Paul-Minneapolis Cath Ed,Catholic,Saint Paul,MN,29732,09/08/2020,Other,Unknown,Pending,Pending,,Pending,Pending,Pending,Pending,Pending,Yes,11/16/2020
2020-2021,,96920701,Avalon Charter School District,Public,Saint Paul,MN,240,09/09/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,No,Never closed,No,12/07/2020
2020-2021,,96943180,College Prep Elementary School District,Public,Saint Paul,MN,350,09/08/2020,Online Only,No,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,11/06/2020
2020-2021,2700115,96943229,Community of Peace Acad Chrtr Schl Dist,Public,Saint Paul,MN,792,09/09/2020,Online Only,No,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,10/20/2020
2020-2021,,96943345,Community Schl of Excellence District,Public,Saint Paul,MN,995,08/31/2020,Hybrid,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,10/23/2020
2020-2021,2700368,108558434,Cornerstone Montessori Elementary Schl,Public,Saint Paul,MN,140,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700138,96943409,Cyber Village Academy Charter District,Public,Saint Paul,MN,250,09/08/2020,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,01/25/2021
2020-2021,,96943465,Dugsi Academy School District,Public,Saint Paul,MN,280,09/04/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,No,Yes,Never closed,Yes,01/26/2021
2020-2021,2700157,108557518,Face To Face Academy,Public,Saint Paul,MN,70,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700344,96943294,Great River School District,Public,Saint Paul,MN,422,09/08/2020,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,11/19/2020
2020-2021,2700160,96917398,High School For Recording Arts District,Public,Saint Paul,MN,200,10/05/2020,Online Only,No,Yes,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/22/2021
2020-2021,2700140,96943088,Higher Ground Academy Charter Office,Public,Saint Paul,MN,236,08/26/2020,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,12/22/2020
2020-2021,2700342,108558301,Hmong College Prep Academy,Public,Saint Paul,MN,2200,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700230,96943068,Hope Community Academy Charter Office,Public,Saint Paul,MN,528,08/31/2020,Online Only,No,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/05/2021
2020-2021,2700152,96942979,Jennings Community LRNNG Ctr Charter Ofc,Public,Saint Paul,MN,90,09/08/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,12/08/2020
2020-2021,2700292,96941647,Laura Jeffrey Academy Charter Office,Public,Saint Paul,MN,100,09/08/2020,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,12/09/2020
2020-2021,2700156,108557505,Life Prep,Public,Saint Paul,MN,300,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2700028,108534946,Metro Deaf School,Public,Saint Paul,MN,116,08/31/2020,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,12/02/2020
2020-2021,2700260,96941504,Minnesota Online High School District,Public,Saint Paul,MN,118,09/08/2020,On Premises,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12/11/2020
2020-2021,2722950,896792,Mounds View Public Schools,Public,Saint Paul,MN,11459,09/21/2020,Online Only,Unknown,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/28/2020
2020-2021,2700337,96941231,Nova Classical Academy Charter Office,Public,Saint Paul,MN,950,08/24/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,09/29/2020
2020-2021,2733840,896788,Saint Paul Public Schools,Public,Saint Paul,MN,41526,09/10/2020,Online Only,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,12/23/2020
